BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),status,Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label,Node Uptime,Transaction Velocity,Node Efficiency,Network Latency
15450240,1659043486,0.515018315,1,1,1,1,92,2699,75,1,112,2939,6658,51,1,1561 days 07:37:55,0.0,75.0,0.0
6379281,1660912130,0.0,1,1,0,1,53,2561,47,1,115,1740,4447,54,1,1582 days 22:41:59,5.351474117060285e-07,0.0,1868644.0
5468684,1524145611,0.0,1,0,0,0,62,1551,86,2,101,1913,2224,0,0,0 days 00:00:00,-7.3117310238772705e-09,0.0,-136766519.0
15450240,1645535000,0.511077034,1,1,1,1,88,1448,72,1,75,2107,4790,55,1,1404 days 23:16:29,8.237952330413327e-09,72.0,121389389.0
5740662,1524995972,0.0,1,0,0,1,39,890,79,1,98,1495,3534,58,0,9 days 20:12:41,-8.29606822447581e-09,0.0,-120539028.0
6181720,1524145611,0.0,1,0,0,1,62,1720,43,1,199,1495,3199,4,0,0 days 00:00:00,-1.1759711463719527e-06,0.0,-850361.0
6535620,1524145611,0.520243195,1,0,0,0,36,1719,16,2,116,2786,2821,0,0,0 days 00:00:00,0.0,0.0,0.0
15450240,1639486924,0.48069954,1,1,1,1,30,1706,43,1,98,1752,5329,54,1,1334 days 23:15:13,8.669920377965525e-09,43.0,115341313.0
14949108,1524145611,0.0,1,0,0,1,30,1153,31,1,89,1285,3021,0,0,0 days 00:00:00,-8.669920377965525e-09,0.0,-115341313.0
6169580,1524145611,0.0,1,0,0,1,174,1507,61,3,109,1450,1778,27,1,0 days 00:00:00,0.0,0.0,0.0
5737652,1525770253,0.018478241,1,0,0,0,40,1328,43,2,75,1725,1766,26,0,18 days 19:17:22,6.155202192236812e-07,0.0,1624642.0
15450240,1525147341,0.0,1,1,0,1,55,1794,37,1,44,2338,2518,0,1,11 days 14:15:30,-1.605363197369773e-06,0.0,-622912.0
6076992,1524145611,0.0,1,0,0,0,45,995,47,2,96,1451,2023,28,0,0 days 00:00:00,-9.98272987731225e-07,0.0,-1001730.0
6266486,1524145611,0.0,1,0,0,1,48,2748,57,1,80,1789,2929,53,0,0 days 00:00:00,0.0,0.0,0.0
12197648,1645191668,0.55572316,1,0,1,1,115,1108,30,3,95,3166,4127,59,0,1400 days 23:54:17,8.261318251779155e-09,30.0,121046057.0
5588913,1641721864,0.439176445,1,0,1,1,37,684,65,2,87,1432,3955,0,1,1360 days 20:04:13,-2.882007168128229e-07,65.0,-3469804.0
5939592,1525031314,0.0,1,0,0,1,44,1536,26,2,102,1819,3906,30,0,10 days 06:01:43,-8.569674236688404e-09,0.0,-116690550.0
11944433,1524145611,0.0,1,1,0,1,42,1713,56,2,97,1232,2613,29,0,0 days 00:00:00,-1.129046644304016e-06,0.0,-885703.0
5825724,1524145611,0.008642333,1,0,0,1,44,885,69,2,74,1689,2392,26,0,0 days 00:00:00,0.0,0.0,0.0
15450240,1652809698,0.0,1,1,1,1,42,1677,418,1,100,1593,2993,24,1,1489 days 04:01:27,7.772176551487907e-09,418.0,128664087.0
5939681,1524145611,0.01117977,0,0,0,1,72,923,67,2,79,1608,3199,27,0,0 days 00:00:00,-7.772176551487907e-09,0.0,-128664087.0
5468684,1586274108,0.0,1,1,0,1,44,1365,52,2,75,1915,3462,28,0,719 days 01:54:57,1.609567345561249e-08,0.0,62128497.0
